umur,jenis_kelamin,tinggi_cm,berat_kg,bmi,label
11,P,140.7,34.5,17.41,Normal
10,L,135.9,29.5,15.98,Normal
11,P,138.9,36.2,18.8,Gemuk
10,P,131.9,28.5,16.37,Normal
6,L,117.0,17.3,12.66,Kurus
10,L,133.2,30.3,17.1,Normal
7,P,117.2,23.8,17.32,Normal
11,P,141.8,34.0,16.91,Normal
10,P,133.2,28.0,15.77,Normal
7,P,121.6,18.0,12.18,Kurus
12,P,143.8,38.7,18.7,Gemuk
6,L,115.2,21.4,16.13,Normal
7,L,116.2,22.2,16.45,Normal
10,P,139.8,31.7,16.24,Normal
11,L,138.7,35.0,18.22,Gemuk
11,P,141.1,31.2,15.66,Normal
8,P,128.0,26.0,15.84,Normal
10,P,134.3,34.5,19.14,Gemuk
7,L,113.4,24.1,18.75,Gemuk
9,P,125.2,28.8,18.4,Gemuk
7,P,116.5,18.0,13.25,Kurus
9,L,132.3,30.1,17.2,Normal
10,P,129.1,35.0,21.0,Gemuk
6,P,116.3,18.0,13.29,Kurus
7,L,119.5,21.2,14.85,Normal
11,L,143.3,34.3,16.69,Normal
7,P,119.1,18.0,12.68,Kurus
11,P,143.6,36.9,17.87,Normal
8,L,123.5,21.7,14.22,Normal
10,L,135.5,29.9,16.3,Normal
8,L,123.2,22.9,15.09,Normal
7,P,117.6,22.0,15.89,Normal
8,P,122.6,25.9,17.26,Normal
7,P,120.5,19.0,13.09,Kurus
11,L,144.1,38.1,18.33,Gemuk
7,L,116.2,19.0,14.07,Normal
12,P,148.1,40.8,18.62,Gemuk
7,L,117.2,25.0,18.22,Gemuk
8,P,126.9,27.9,17.36,Normal
12,P,144.1,38.4,18.52,Gemuk
12,L,148.6,40.5,18.34,Gemuk
8,P,123.7,21.4,14.02,Normal
10,L,132.0,31.5,18.06,Gemuk
9,L,133.0,30.3,17.13,Normal
6,P,111.6,17.1,13.75,Kurus
12,L,146.1,36.4,17.06,Normal
8,L,125.0,24.9,15.93,Normal
9,P,129.7,31.7,18.84,Gemuk
6,P,117.4,22.0,15.96,Normal
7,L,116.8,19.3,14.14,Normal
7,P,116.7,23.2,17.06,Normal
8,P,123.4,20.9,13.7,Kurus
11,P,143.7,33.5,16.24,Normal
8,L,123.8,22.8,14.85,Normal
12,P,144.2,39.8,19.12,Gemuk
7,L,119.7,19.7,13.75,Kurus
8,P,120.7,20.3,13.97,Kurus
6,P,110.0,22.0,18.18,Gemuk
12,L,149.0,39.9,17.96,Normal
11,L,140.9,34.9,17.56,Normal
8,L,125.1,25.3,16.15,Normal
9,P,128.0,23.6,14.43,Normal
10,P,128.0,30.2,18.43,Gemuk
12,L,142.5,41.4,20.39,Gemuk
9,P,131.7,32.4,18.67,Gemuk
8,L,126.3,27.6,17.29,Normal
9,P,129.9,33.5,19.87,Gemuk
12,L,146.9,38.1,17.65,Normal
11,L,136.4,37.8,20.29,Gemuk
7,P,116.4,24.2,17.86,Normal
10,L,131.8,29.7,17.1,Normal
7,P,116.5,18.0,13.25,Kurus
8,L,123.7,24.4,15.95,Normal
8,P,120.0,21.8,15.14,Normal
12,L,143.3,36.7,17.88,Normal
6,P,113.9,17.2,13.26,Kurus
6,L,111.3,17.6,14.2,Normal
10,P,130.4,33.0,19.44,Gemuk
11,L,146.6,37.1,17.23,Normal
12,P,143.9,38.2,18.43,Gemuk
12,L,143.3,40.2,19.59,Gemuk
12,L,146.2,42.0,19.65,Gemuk
7,P,120.9,21.2,14.51,Normal
12,L,147.8,39.3,18.0,Normal
12,P,143.4,37.5,18.22,Gemuk
7,L,114.8,21.6,16.42,Normal
7,P,118.4,23.4,16.69,Normal
12,L,145.7,43.6,20.52,Gemuk
8,L,120.4,23.6,16.3,Normal
10,L,133.9,28.9,16.1,Normal
12,P,141.8,36.3,18.07,Gemuk
11,P,139.0,31.9,16.51,Normal
11,P,142.4,35.2,17.36,Normal
7,L,119.3,22.2,15.62,Normal
12,L,146.9,38.2,17.72,Normal
12,L,145.4,34.9,16.51,Normal
12,P,147.5,39.2,17.99,Normal
