Age,Gender,Gender_Encoded,Height,Weight,Status_Gizi
11.0,P,0,140.7,34.5,Normal
10.0,L,1,135.9,29.5,Normal
11.0,P,0,138.9,36.2,Overweight
10.0,P,0,131.9,28.5,Normal
6.0,L,1,117.0,17.3,Underweight
10.0,L,1,133.2,30.3,Normal
7.0,P,0,117.2,23.8,Normal
11.0,P,0,141.8,34.0,Normal
10.0,P,0,133.2,28.0,Normal
7.0,P,0,121.6,18.0,Underweight
12.0,P,0,143.8,38.7,Overweight
6.0,L,1,115.2,21.4,Normal
7.0,L,1,116.2,22.2,Normal
10.0,P,0,139.8,31.7,Normal
11.0,L,1,138.7,35.0,Overweight
11.0,P,0,141.1,31.2,Normal
8.0,P,0,128.0,26.0,Normal
10.0,P,0,134.3,34.5,Overweight
7.0,L,1,113.4,24.1,Overweight
9.0,P,0,125.2,28.8,Overweight
7.0,P,0,116.5,18.0,Underweight
9.0,L,1,132.3,30.1,Normal
10.0,P,0,129.1,35.0,Overweight
6.0,P,0,116.3,18.0,Underweight
7.0,L,1,119.5,21.2,Normal
11.0,L,1,143.3,34.3,Normal
7.0,P,0,119.1,18.0,Underweight
11.0,P,0,143.6,36.9,Normal
8.0,L,1,123.5,21.7,Normal
10.0,L,1,135.5,29.9,Normal
8.0,L,1,123.2,22.9,Normal
7.0,P,0,117.6,22.0,Normal
8.0,P,0,122.6,25.9,Normal
7.0,P,0,120.5,19.0,Underweight
11.0,L,1,144.1,38.1,Overweight
7.0,L,1,116.2,19.0,Normal
12.0,P,0,148.1,40.8,Overweight
7.0,L,1,117.2,25.0,Overweight
8.0,P,0,126.9,27.9,Normal
12.0,P,0,144.1,38.4,Overweight
12.0,L,1,148.6,40.5,Overweight
8.0,P,0,123.7,21.4,Normal
10.0,L,1,132.0,31.5,Overweight
9.0,L,1,133.0,30.3,Normal
6.0,P,0,111.6,17.1,Underweight
12.0,L,1,146.1,36.4,Normal
8.0,L,1,125.0,24.9,Normal
9.0,P,0,129.7,31.7,Overweight
6.0,P,0,117.4,22.0,Normal
7.0,L,1,116.8,19.3,Normal
7.0,P,0,116.7,23.2,Normal
11.0,P,0,143.7,33.5,Normal
8.0,L,1,123.8,22.8,Normal
12.0,P,0,144.2,39.8,Overweight
7.0,L,1,119.7,19.7,Underweight
8.0,P,0,120.7,20.3,Underweight
6.0,P,0,110.0,22.0,Overweight
12.0,L,1,149.0,39.9,Normal
11.0,L,1,140.9,34.9,Normal
8.0,L,1,125.1,25.3,Normal
9.0,P,0,128.0,23.6,Normal
10.0,P,0,128.0,30.2,Overweight
12.0,L,1,142.5,41.4,Overweight
9.0,P,0,131.7,32.4,Overweight
8.0,L,1,126.3,27.6,Normal
